epoch,train_loss,val_loss
1,1.1391092836856842,0.9898809790611267
2,1.0121004283428192,0.8970201015472412
3,0.9511307030916214,0.845617949962616
4,0.9061317592859268,0.8034602999687195
5,0.8756392002105713,0.7618027925491333
6,0.8162607997655869,0.7250617742538452
7,0.7823771685361862,0.6955240964889526
8,0.7573990374803543,0.6676110625267029
9,0.6882914155721664,0.6349393129348755
10,0.6523644179105759,0.5969874858856201
11,0.6040508151054382,0.5575298070907593
12,0.5698839798569679,0.5205071568489075
13,0.5360738784074783,0.48972055315971375
14,0.4844733029603958,0.4687519967556
15,0.49356696754693985,0.451595276594162
16,0.43987350165843964,0.43300101161003113
17,0.40677639096975327,0.4125312268733978
18,0.3823440223932266,0.38128069043159485
19,0.3363157883286476,0.35316920280456543
20,0.3330933749675751,0.3440595865249634
21,0.3091728426516056,0.323391854763031
22,0.29077403247356415,0.31586578488349915
23,0.2738046608865261,0.3042359948158264
24,0.2539452984929085,0.3032936453819275
25,0.2547800876200199,0.2981823682785034
26,0.224114328622818,0.288341224193573
27,0.22419516742229462,0.2671979069709778
28,0.20430252701044083,0.27000755071640015
29,0.2156122550368309,0.2721238434314728
30,0.19483424723148346,0.264055460691452
31,0.1896500326693058,0.253980815410614
32,0.19089174829423428,0.24383747577667236
33,0.15733741596341133,0.24267588555812836
34,0.1563890501856804,0.24968497455120087
35,0.15274285525083542,0.2479458749294281
36,0.145547678694129,0.24639099836349487
37,0.14534106850624084,0.24677756428718567
38,0.13740622252225876,0.24185846745967865
39,0.13614917919039726,0.23645652830600739
40,0.12780795618891716,0.24718357622623444
41,0.12730985134840012,0.24107375741004944
42,0.10578310862183571,0.2345813661813736
43,0.11332034319639206,0.2324066311120987
44,0.08921393007040024,0.235329732298851
45,0.10093336924910545,0.23665252327919006
46,0.1243537999689579,0.2366618663072586
47,0.10727887973189354,0.23574787378311157
48,0.08878851309418678,0.23427394032478333
49,0.09547977149486542,0.23592634499073029
50,0.07622355781495571,0.24732235074043274
51,0.11628744937479496,0.24701310694217682
52,0.09288332238793373,0.24823740124702454
53,0.07533865049481392,0.25208398699760437
54,0.09626946225762367,0.24868221580982208
55,0.0866247471421957,0.24073857069015503
56,0.07125610578805208,0.23608332872390747
57,0.0852118693292141,0.24220511317253113
58,0.06782052060589194,0.24993716180324554
59,0.06613670755177736,0.2547413110733032
60,0.06943298690021038,0.2538401782512665
61,0.07000536937266588,0.24951982498168945
62,0.05768601782619953,0.2428029477596283
63,0.05844273464754224,0.23241078853607178
64,0.0650707297027111,0.23343895375728607
65,0.06784980464726686,0.24039648473262787
66,0.05591823440045118,0.2564646899700165
67,0.0599398510530591,0.28348517417907715
68,0.05069304723292589,0.27361470460891724
69,0.06298183277249336,0.2765375077724457
70,0.061406712513417006,0.27656564116477966
71,0.06982691586017609,0.26926639676094055
72,0.046634858939796686,0.25536778569221497
73,0.05311026144772768,0.2583334445953369
74,0.04467797605320811,0.26372596621513367
75,0.037617580499500036,0.25978508591651917
76,0.04235901450738311,0.2583463490009308
77,0.03144950047135353,0.25389930605888367
78,0.0555195901542902,0.25196051597595215
79,0.04759506834670901,0.2650091350078583
80,0.04210247052833438,0.24779193103313446
81,0.03813980566337705,0.24456655979156494
82,0.041753596626222134,0.255865216255188
83,0.02775573404505849,0.2538413107395172
84,0.031028613448143005,0.2416977435350418
85,0.05066297925077379,0.23992888629436493
86,0.04725109599530697,0.24542804062366486
87,0.026984286727383733,0.25072935223579407
88,0.025069263763725758,0.2450360804796219
89,0.0361683783121407,0.24355806410312653
90,0.05333351530134678,0.23785226047039032
91,0.04917367082089186,0.2268381267786026
92,0.034904524218291044,0.2325761765241623
93,0.02037780173122883,0.23776303231716156
94,0.036085103172808886,0.247717022895813
95,0.023198101669549942,0.252510666847229
96,0.02206959994509816,0.2568551301956177
97,0.018737569451332092,0.25593292713165283
98,0.022106155985966325,0.2564416825771332
99,0.01810518908314407,0.2556121349334717
100,0.02623519580811262,0.25214463472366333
101,0.017364933621138334,0.2531657814979553
102,0.022044049575924873,0.2459685355424881
103,0.017821264686062932,0.24306437373161316
104,0.02093847142532468,0.23862820863723755
105,0.01922849426046014,0.23811574280261993
106,0.01690201973542571,0.2421039640903473
107,0.03119582962244749,0.2376159429550171
108,0.020014444133266807,0.24089178442955017
109,0.010245616314932704,0.23891863226890564
110,0.014854857698082924,0.2421826422214508
111,0.018237302894704044,0.23914092779159546
112,0.02374446752946824,0.2468585968017578
113,0.032868388341739774,0.2693074643611908
114,0.019906372763216496,0.2458357959985733
115,0.020280730677768588,0.2468090057373047
116,0.015260300133377314,0.24882306158542633
117,0.013550562085583806,0.25405627489089966
118,0.016465190332382917,0.24947886168956757
119,0.013684986275620759,0.2367468923330307
120,0.017688175896182656,0.24750949442386627
121,0.017948835156857967,0.23863476514816284
122,0.017520657973363996,0.2564258277416229
123,0.012501382210757583,0.3028128743171692
124,0.033357335487380624,0.24494053423404694
125,0.012703555170446634,0.2588805556297302
126,0.015940857236273587,0.2493068277835846
127,0.01126364734955132,0.235300213098526
128,0.009714169311337173,0.23723091185092926
129,0.010587208671495318,0.22671498358249664
130,0.013581738923676312,0.21693281829357147
131,0.012489681714214385,0.21436448395252228
132,0.011950052808970213,0.2148851901292801
133,0.010217320756055415,0.23071961104869843
134,0.009801608393900096,0.23965077102184296
135,0.00974626641254872,0.2343081384897232
136,0.010841698152944446,0.24160873889923096
137,0.009681442868895829,0.24459858238697052
138,0.0065860351314768195,0.24319571256637573
139,0.009894122486002743,0.24497105181217194
140,0.011173229664564133,0.2617078125476837
141,0.009559026453644037,0.2535392642021179
142,0.010458946693688631,0.24714598059654236
143,0.007196445949375629,0.24353887140750885
144,0.010087223257869482,0.2422693520784378
145,0.01246227923547849,0.23674383759498596
146,0.031052073230966926,0.24678750336170197
147,0.026327880914323032,0.2503473460674286
148,0.0048316678730770946,0.2462865561246872
149,0.02160638675559312,0.24801403284072876
150,0.007904365425929427,0.2360706776380539
151,0.01126145978923887,0.23291872441768646
152,0.01130887947510928,0.24267418682575226
153,0.006421458208933473,0.24320729076862335
154,0.01024999632500112,0.2323172241449356
155,0.007013406953774393,0.22963011264801025
156,0.008018478052690625,0.2332233190536499
157,0.01184907543938607,0.23708556592464447
158,0.006098034034948796,0.24631941318511963
159,0.007052922795992345,0.2470567524433136
160,0.004105455009266734,0.24009086191654205
161,0.008888390846550465,0.23902779817581177
162,0.008088281261734664,0.23843412101268768
163,0.0049775863299146295,0.23504912853240967
164,0.00926849659299478,0.23701217770576477
165,0.003933856089133769,0.24519121646881104
166,0.0041655824752524495,0.2487495094537735
167,0.007461140339728445,0.24252964556217194
168,0.005680018977727741,0.24850234389305115
169,0.015021241386421025,0.2438480406999588
170,0.00451784156030044,0.24471931159496307
171,0.0077041040058247745,0.2470570057630539
172,0.005062049312982708,0.24896706640720367
173,0.00986280752113089,0.2421254962682724
174,0.004478511109482497,0.23936410248279572
175,0.012490557157434523,0.23625029623508453
176,0.008229734725318849,0.24718628823757172
177,0.008204013342037797,0.23756897449493408
178,0.004729941254481673,0.2372685968875885
179,0.004755155649036169,0.24385246634483337
180,0.007546111126430333,0.2501576542854309
181,0.019616431032773107,0.24100087583065033
182,0.007749277341645211,0.23880994319915771
183,0.006909995921887457,0.2518974244594574
184,0.005724464659579098,0.2531169056892395
185,0.00466083170613274,0.252726286649704
186,0.004792394465766847,0.25346049666404724
187,0.0061988322413526475,0.25323331356048584
188,0.004537592409178615,0.25561970472335815
189,0.005054253851994872,0.25187110900878906
190,0.00643255707109347,0.248914435505867
191,0.0037355267559178174,0.2530154883861542
192,0.004369411268271506,0.25806671380996704
193,0.003639772708993405,0.2628370523452759
194,0.002912689989898354,0.2668337821960449
195,0.007582376128993928,0.2739180326461792
196,0.003994503174908459,0.291570782661438
197,0.005327444465365261,0.282906711101532
198,0.0025326834293082356,0.2693423628807068
199,0.0033274361630901694,0.26402637362480164
200,0.004595400532707572,0.2641180753707886
201,0.005699029308743775,0.25763657689094543
202,0.002761684183496982,0.2496388703584671
203,0.02084394046687521,0.24620766937732697
204,0.00262498133815825,0.25624316930770874
205,0.002854293037671596,0.26917651295661926
206,0.004889114119578153,0.26294466853141785
207,0.006640334089752287,0.24952025711536407
208,0.0027668782277032733,0.2624354064464569
209,0.0054136954713612795,0.2665070593357086
210,0.008080150961177424,0.24944473803043365
211,0.010648898198269308,0.271867960691452
212,0.003684674040414393,0.2725827693939209
213,0.00425714673474431,0.26676034927368164
214,0.005536273936741054,0.2678687274456024
215,0.0034745940647553653,0.2637781798839569
216,0.0029113492055330426,0.2573312520980835
217,0.005073512613307685,0.2543235123157501
218,0.0033417485537938774,0.25167331099510193
219,0.0020701184403151274,0.2489050328731537
220,0.003459265164565295,0.24472466111183167
221,0.005691044614650309,0.24394112825393677
222,0.0027054800593759865,0.24913319945335388
223,0.0027936828264500946,0.2499505579471588
224,0.0031865870696492493,0.2455190271139145
225,0.00362757605034858,0.24483133852481842
226,0.003013353649294004,0.246082603931427
227,0.0032968397135846317,0.2481101006269455
228,0.0017721776966936886,0.24979592859745026
229,0.00274268799694255,0.25012627243995667
230,0.0025385486660525203,0.248871311545372
231,0.0021890460629947484,0.24839940667152405
232,0.0024925664183683693,0.2480374574661255
233,0.0025782936136238277,0.24775144457817078
234,0.00177695945603773,0.24805408716201782
235,0.002206635690527037,0.24837423861026764
236,0.0015374343493022025,0.24814918637275696
237,0.0021445473830681294,0.2475079596042633
