Feature,shap_abs_mean
LiS5,0.2932835079382477
S2,0.20778119715509524
S6,0.138667858766911
S,0.12016129292185282
LiS,0.1082280223180102
Li2S6,0.09157690535621837
Li2S7,0.05425526563105888
LiS7,0.036802503670283065
Li2S3,0.033876905233599076
Li2S5,0.0325917438817323
S5,0.028629734585009003
S3,0.028356032603200916
LiS4,0.02328595539092448
LiS3,0.02151216046782652
LiS6,0.012988083469424844
Li2S2,0.012237351556908478
LiS2,0.011685049114126801
2LiS,0.008169159995768392
